id,title,phone,address,rating
52864,bmstu.bd.lab.lab_01.model.Institution@19dbf75f,Lane,Kshlerin,1990-01-12,Female,1-499-576-1879,Mallowpond University
52865,bmstu.bd.lab.lab_01.model.Institution@19dbf75f,Kristen,Gleichner,1951-03-18,Female,(641) 041-8435 x78650,Flowerlake Technical College
52866,bmstu.bd.lab.lab_01.model.Institution@19dbf75f,Alexia,Shields,1942-03-22,Female,796.704.0401,Mallowpond University
52867,bmstu.bd.lab.lab_01.model.Institution@19dbf75f,Raleigh,Breitenberg,1933-03-22,Female,1-688-775-7420,Ironbarrow TAFE
52868,bmstu.bd.lab.lab_01.model.Institution@19dbf75f,Brian,Lebsack,1957-10-07,Male,906.476.0410,Vertapple University
52869,bmstu.bd.lab.lab_01.model.Institution@19dbf75f,Henriette,Bailey,1981-12-30,Male,916-024-1315 x7718,Brookville College
52870,bmstu.bd.lab.lab_01.model.Institution@19dbf75f,Violette,Turner,2001-11-03,Female,672.898.6588,Brighthurst College
52871,bmstu.bd.lab.lab_01.model.Institution@19dbf75f,Lorean,Hackett,1968-05-11,Female,309-180-9605 x7535,Ironbarrow TAFE
52872,bmstu.bd.lab.lab_01.model.Institution@19dbf75f,Mabel,Prohaska,1977-10-13,Female,1-177-498-0470 x98804,Icelyn TAFE
52873,bmstu.bd.lab.lab_01.model.Institution@19dbf75f,Shirley,Medhurst,1949-03-20,Male,(285) 371-2976 x553,Brighthurst College
52874,bmstu.bd.lab.lab_01.model.Institution@5bc99e6c,Claudie,Bartell,1976-10-23,Male,(362) 280-6101 x22339,Clearcourt College
52875,bmstu.bd.lab.lab_01.model.Institution@5bc99e6c,Annalisa,Schuster,1972-08-26,Female,1-782-492-3926 x05291,Iceborough TAFE
52876,bmstu.bd.lab.lab_01.model.Institution@5bc99e6c,Bettina,Hand,1944-10-29,Male,1-005-612-1145 x887,Icelyn University
52877,bmstu.bd.lab.lab_01.model.Institution@5bc99e6c,Deedee,Funk,1968-12-15,Male,1-246-069-4615,Ironston College
52878,bmstu.bd.lab.lab_01.model.Institution@5bc99e6c,David,Yundt,1948-12-15,Female,(448) 776-5519,Ostbarrow College
52879,bmstu.bd.lab.lab_01.model.Institution@5bc99e6c,Ward,Leuschke,1945-11-02,Male,1-435-551-7009 x2813,Mallowtown TAFE
52880,bmstu.bd.lab.lab_01.model.Institution@5bc99e6c,Ruben,Armstrong,1929-05-15,Male,101.833.1582 x37177,Mallowpond TAFE
52881,bmstu.bd.lab.lab_01.model.Institution@5bc99e6c,Ambrose,Watsica,1948-03-13,Male,428-526-9737,Iceborough Technical College
52882,bmstu.bd.lab.lab_01.model.Institution@5bc99e6c,Alise,Bahringer,2002-07-08,Male,1-739-971-3496 x6761,Brighthurst University
52883,bmstu.bd.lab.lab_01.model.Institution@69bc851c,Odilia,Heidenreich,1950-08-31,Female,1-708-805-1370,Lakeacre Technical College
52884,bmstu.bd.lab.lab_01.model.Institution@69bc851c,Eugenio,Hirthe,1929-09-16,Male,(728) 652-8838 x077,Ironston University
52885,bmstu.bd.lab.lab_01.model.Institution@69bc851c,Al,Steuber,1986-09-10,Male,(859) 602-9917,Vertapple College
52886,bmstu.bd.lab.lab_01.model.Institution@69bc851c,Jackelyn,Torphy,1964-05-01,Female,980.753.5753,Brookville College
52887,bmstu.bd.lab.lab_01.model.Institution@69bc851c,My,Feest,1934-06-14,Female,1-923-537-5575 x4531,Vertapple Technical College
52888,bmstu.bd.lab.lab_01.model.Institution@69bc851c,Nick,Bashirian,1991-04-23,Male,070-390-0470,Iceborough University
52889,bmstu.bd.lab.lab_01.model.Institution@69bc851c,Somer,Jones,1930-11-06,Male,997.506.0385,Brighthurst College
52890,bmstu.bd.lab.lab_01.model.Institution@69bc851c,Brian,Wolf,1975-10-26,Female,475.772.7952 x38871,Bluemeadow University
52891,bmstu.bd.lab.lab_01.model.Institution@69bc851c,Elise,Johnson,1982-08-01,Male,690-317-2693 x5363,Flowerlake University
52892,bmstu.bd.lab.lab_01.model.Institution@69bc851c,Elias,Gottlieb,1987-01-17,Male,(192) 119-7438 x26952,Vertapple Technical College
52893,bmstu.bd.lab.lab_01.model.Institution@69bc851c,Arden,Stracke,1994-02-12,Male,235-496-4449 x38840,Flowerlake Technical College
52894,bmstu.bd.lab.lab_01.model.Institution@69bc851c,Jorge,Crona,2002-02-26,Male,(295) 950-1671,Bluemeadow TAFE
52895,bmstu.bd.lab.lab_01.model.Institution@69bc851c,Pearle,Bogisich,1972-05-29,Female,(621) 308-9400 x1001,Vertapple Technical College
